spotify_id,name,artists,country,popularity,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,spotify_url,mood
3gEmQZnsmDrttYiBM2WYdD,Luotathan,"Mirella, Lauri Haav",FI,58,200536,Kunpa oisin kertonut,31/10/2024,0.62,0.703,5,-5.053,0.0567,0.0732,0.115,0.27,126.979,https://open.spotify.com/track/3gEmQZnsmDrttYiBM2WYdD,energetic
52NFoPnzxOKPIcJIQ9mb5Q,ICH KOMME,Erika Vikman,FI,69,180314,ICH KOMME,16/1/2025,0.326,0.841,7,-5.892,0.0487,0.00524,0.347,0.588,146.916,https://open.spotify.com/track/52NFoPnzxOKPIcJIQ9mb5Q,energetic
71hoYrgo1nxzWp9hfhu0Fi,Vitun hyvin,"Averagekidluke, Turisti",FI,60,180099,YUNO,30/8/2024,0.688,0.714,1,-6.872,0.042,0.228,0.127,0.614,130.017,https://open.spotify.com/track/71hoYrgo1nxzWp9hfhu0Fi,energetic
6GdsfRTm1mjLgyCP5Qd653,"Haluamanilainen, mietin sua pahalla - Emma Gaala 2025 Live","Mokoma, pehmoaino",FI,52,322964,"Haluamanilainen, mietin sua pahalla (Emma Gaala 2025 Live)",10/4/2025,0.362,0.891,0,-6.624,0.402,0.0447,0.911,0.339,127.957,https://open.spotify.com/track/6GdsfRTm1mjLgyCP5Qd653,energetic
1Ksud6DSBg0brnHcjVbm3k,Tupakkaa ja rakkautta,Jaakko Kulta,FI,62,202348,Tupakkaa ja rakkautta,28/2/2025,0.598,0.696,3,-5.642,0.0319,0.108,0.15,0.536,126.04,https://open.spotify.com/track/1Ksud6DSBg0brnHcjVbm3k,energetic
5dSmtvguWDB0oXMFUbUyYK,Italia,"Isac Elliot, Averagekidluke, MD$",FI,60,193600,Italia,23/5/2024,0.682,0.745,5,-6.953,0.0403,0.0275,0.173,0.737,149.996,https://open.spotify.com/track/5dSmtvguWDB0oXMFUbUyYK,energetic
1dnKyTHMBWzbYZ2LDXBefu,FLIPA,"JC Reyes, Dei V",ES,82,175200,NACER DE NUEVO,13/3/2025,0.774,0.751,6,-4.984,0.0738,0.215,0.0769,0.579,99.992,https://open.spotify.com/track/1dnKyTHMBWzbYZ2LDXBefu,energetic
1k4Iyemx6P5fba7RRcHmeb,Still Luvin,"Delaossa, Quevedo, Bigla The Kid",ES,77,246974,La Madrugá,20/3/2025,0.73,0.731,6,-6.539,0.29,0.36,0.104,0.634,106.964,https://open.spotify.com/track/1k4Iyemx6P5fba7RRcHmeb,energetic
1CTTIrl42flqn1WYUoxl0H,NINFO,"JC Reyes, De La Rose, MC Menor JP",ES,76,184615,NACER DE NUEVO,13/3/2025,0.756,0.76,7,-5.182,0.0379,0.655,0.482,0.914,129.989,https://open.spotify.com/track/1CTTIrl42flqn1WYUoxl0H,energetic
4rxPM7gelblflqcSTp6pkw,Orilla,"8belial, Bad Gyal, Virtual Flavor",ES,71,193359,Mr. Fino Riddim The Mixtape,17/3/2025,0.656,0.818,0,-4.953,0.242,0.0757,0.0863,0.494,87.661,https://open.spotify.com/track/4rxPM7gelblflqcSTp6pkw,energetic
1gRaHuKLW9Uo9qYkb7MvGP,Angelito,"Bad Gyal, Trueno",ES,81,130813,Angelito,16/1/2025,0.917,0.68,5,-3.997,0.0644,0.166,0.262,0.908,99.99,https://open.spotify.com/track/1gRaHuKLW9Uo9qYkb7MvGP,energetic
7DiNJqM6uyiYqqWX1wsqxG,DONDE TE ESCONDES?,Yapi,ES,78,134870,DONDE TE ESCONDES?,16/1/2025,0.486,0.654,6,-6.073,0.0973,0.178,0.0785,0.776,124.43,https://open.spotify.com/track/7DiNJqM6uyiYqqWX1wsqxG,energetic
0dLdgRj8l4N0rmAwDxIV1Z,CELOSA,"JC Reyes, David Marley",ES,69,146000,NACER DE NUEVO,13/3/2025,0.837,0.536,5,-5.933,0.118,0.669,0.136,0.614,120.053,https://open.spotify.com/track/0dLdgRj8l4N0rmAwDxIV1Z,energetic
3tMftGMXTPbQlmjh4FzXpZ,Me has invitado a bailar,Dani Fernández,ES,71,192906,La Jauría,25/10/2024,0.665,0.544,10,-3.648,0.115,0.0129,0.0752,0.625,163.948,https://open.spotify.com/track/3tMftGMXTPbQlmjh4FzXpZ,lofi
58ldPuiCULxm08TCZ8qX4D,HALO,"Quevedo, La Pantera",ES,74,181261,BUENAS NOCHES,22/11/2024,0.829,0.786,11,-4.879,0.073,0.282,0.1,0.618,100.037,https://open.spotify.com/track/58ldPuiCULxm08TCZ8qX4D,energetic
67LKV40NfSSGIJnm0xz6fi,MR. MOONDIAL,"Quevedo, Pitbull",ES,77,165762,BUENAS NOCHES,22/11/2024,0.68,0.797,1,-4.652,0.0336,0.0688,0.19,0.876,123.999,https://open.spotify.com/track/67LKV40NfSSGIJnm0xz6fi,energetic
6aO53Wsz32bgMBytw6pIYm,Se Pone Las Nike,Cano,ES,75,159375,Triana,24/10/2024,0.686,0.723,7,-5.015,0.0359,0.451,0.0884,0.646,128.048,https://open.spotify.com/track/6aO53Wsz32bgMBytw6pIYm,energetic
74j34STf8L6uADnTN69ohv,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",ES,79,289898,El Efecto (Remix),13/12/2019,0.771,0.769,0,-3.504,0.0694,0.18,0.345,0.931,167.969,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv,energetic
6UulhuFnVh60zaE2q4tavZ,Sexo Seguro,"Franco ""El Gorilla"", Yandel",ES,47,220040,Reggaeton Viejo,21/2/2020,0.745,0.887,4,-6.244,0.103,0.0819,0.101,0.584,97.03,https://open.spotify.com/track/6UulhuFnVh60zaE2q4tavZ,energetic
0J2YHeebc3HvUDl2XDPu7d,DESEO,"JC Reyes, Sky Rompiendo",ES,71,141600,NACER DE NUEVO,13/3/2025,0.828,0.812,9,-4.795,0.0524,0.137,0.115,0.632,99.986,https://open.spotify.com/track/0J2YHeebc3HvUDl2XDPu7d,energetic
08VceLSSJJ83Yz3NTCyxZC,Exotica,Gabry Ponte,ES,78,121417,Exotica,21/2/2025,0.599,0.686,7,-4.647,0.0752,0.16,0.13,0.58,129.811,https://open.spotify.com/track/08VceLSSJJ83Yz3NTCyxZC,energetic
2318Aoqig6HS9YkHGlAm8T,Te Regalo,"Rels B, J Abecia",ES,80,147451,Te Regalo,4/12/2024,0.613,0.522,4,-5.501,0.117,0.394,0.163,0.511,119.262,https://open.spotify.com/track/2318Aoqig6HS9YkHGlAm8T,energetic
2xkAMFdKwbFFfY5jMEhi42,SIN AUTOTUNE,Lola Indigo,ES,71,161326,NAVE DRAGÓN,27/3/2025,0.801,0.672,1,-4.939,0.0855,0.0234,0.187,0.438,104.039,https://open.spotify.com/track/2xkAMFdKwbFFfY5jMEhi42,energetic
0WqqQ8uHKDbkPbo2ASI9U6,Kadaba,Karim Osama,EG,66,175960,Kadaba,13/2/2025,0.852,0.545,1,-8.052,0.181,0.505,0.106,0.405,119.976,https://open.spotify.com/track/0WqqQ8uHKDbkPbo2ASI9U6,energetic
01O9Ijz8tcyllso5VJ6w75,Makrehtosh,Tamer Ashour,EG,65,212112,Yaah,15/1/2025,0.396,0.506,8,-7.286,0.0422,0.552,0.121,0.33,142.231,https://open.spotify.com/track/01O9Ijz8tcyllso5VJ6w75,energetic
13bOmUNMnr4kkg5O1q2x60,BONO,Marwan Pablo,EG,63,113142,EN7RAF,3/4/2025,0.681,0.665,1,-6.482,0.0355,0.0195,0.0828,0.156,140.067,https://open.spotify.com/track/13bOmUNMnr4kkg5O1q2x60,energetic
1VQx8TpKEv8uWQ1awwPX5f,Emshy,"Tommy Gun, Rally",EG,66,191508,El Rwaya,23/12/2024,0.696,0.508,5,-10.824,0.0347,0.0147,0.298,0.109,123.988,https://open.spotify.com/track/1VQx8TpKEv8uWQ1awwPX5f,energetic
4LKXjVhW0awFSsXLtEmkBD,AURA,Marwan Pablo,EG,62,94925,EN7RAF,3/4/2025,0.67,0.692,11,-7.881,0.0326,0.0657,0.101,0.331,134.032,https://open.spotify.com/track/4LKXjVhW0awFSsXLtEmkBD,energetic
6owkG9xqS6S3cx3KXxryyI,GHANIMA,Marwan Pablo,EG,62,114626,EN7RAF,3/4/2025,0.362,0.625,8,-5.572,0.0409,0.00123,0.245,0.221,93.014,https://open.spotify.com/track/6owkG9xqS6S3cx3KXxryyI,energetic
50a2GGMcmDCMKTo73OppNW,Seket Leh,Ramy Sabry,EG,64,281756,Ramy Sabry Collection,7/11/2018,0.495,0.443,6,-11.362,0.0306,0.125,0.323,0.417,148.011,https://open.spotify.com/track/50a2GGMcmDCMKTo73OppNW,energetic
5ETFNSZAqO6A66VrgXkd6v,KARMA,"Marwan Pablo, Abyusif",EG,65,174902,7OB&KASHAT,29/11/2024,0.75,0.777,4,-5.613,0.0617,0.259,0.404,0.635,122.013,https://open.spotify.com/track/5ETFNSZAqO6A66VrgXkd6v,energetic
5LcThJzvvRzOZZb4apH9Px,Ana Meen,زاد,EG,64,189567,Ana Meen,13/5/2024,0.58,0.338,7,-11.905,0.0267,0.181,0.345,0.522,95.133,https://open.spotify.com/track/5LcThJzvvRzOZZb4apH9Px,energetic
2Cs1t49qL52fPt6ikx15wp,KEBDA,"Afroto, ONUY",EG,65,170769,أفضل أغانى 2024,24/7/2024,0.875,0.67,7,-3.601,0.335,0.446,0.101,0.819,103.933,https://open.spotify.com/track/2Cs1t49qL52fPt6ikx15wp,energetic
7mfn9jHr5sUyRCMHdHy3x4,Etghayart,"Tommy Gun, Rally",EG,62,165642,El Rwaya,23/12/2024,0.758,0.694,7,-9.824,0.03,0.0486,0.227,0.201,129.989,https://open.spotify.com/track/7mfn9jHr5sUyRCMHdHy3x4,energetic
2lygVhKHBUzEGMJXljHOV2,El Neyya,Lege-Cy,EG,62,160524,El Neyya,8/7/2024,0.334,0.676,0,-7.904,0.0777,0.606,0.196,0.478,159.932,https://open.spotify.com/track/2lygVhKHBUzEGMJXljHOV2,energetic
0rDNeS6IwKi1oMrtkEc5S0,Yazmeely,Ilmond,EG,64,196806,Ya Kahera,20/7/2023,0.706,0.467,5,-9.396,0.0401,0.575,0.112,0.224,100.045,https://open.spotify.com/track/0rDNeS6IwKi1oMrtkEc5S0,energetic
3FJ2RFcLUogTbyt9MGVQoC,Kan Mawdo3,Tamer Ashour,EG,62,282430,Tegy Ntrahn,20/1/2022,0.478,0.639,2,-5.248,0.0454,0.4,0.106,0.298,139.619,https://open.spotify.com/track/3FJ2RFcLUogTbyt9MGVQoC,energetic
45VT46xVVf2haISCNCdt6U,Yaah,Tamer Ashour,EG,60,250135,Yaah,15/1/2025,0.431,0.613,11,-8.747,0.039,0.16,0.227,0.198,148.156,https://open.spotify.com/track/45VT46xVVf2haISCNCdt6U,energetic
6AvhXZErJVyLcTPGWyriJr,Etabelna,Muslim - مُسلِم,EG,61,186233,Etabelna,18/5/2024,0.631,0.624,11,-7.665,0.0469,0.57,0.171,0.762,154.175,https://open.spotify.com/track/6AvhXZErJVyLcTPGWyriJr,energetic
2E870p0a1keSedRhkx6IOh,KKKK,"Shehab, Omar Keif",EG,62,126223,KKKK,17/2/2025,0.869,0.308,1,-12.348,0.113,0.0467,0.109,0.47,123.011,https://open.spotify.com/track/2E870p0a1keSedRhkx6IOh,energetic
4vIbws1xp082bv0zl8vLaJ,Basrah w Atooh,Cairokee,EG,64,237832,Roma,23/9/2022,0.74,0.507,3,-8.764,0.118,0.373,0.239,0.551,103.993,https://open.spotify.com/track/4vIbws1xp082bv0zl8vLaJ,energetic
5rbDNw9zgn86mOmPcmfWjT,LEMAZA,Marwan Pablo,EG,59,126614,EN7RAF,3/4/2025,0.535,0.491,4,-9.824,0.0299,0.000117,0.372,0.125,126.942,https://open.spotify.com/track/5rbDNw9zgn86mOmPcmfWjT,energetic
0lGBH3NhfXHdOM1GswMqh3,SWISSRA,Lege-Cy,EG,60,133619,BGD,31/1/2025,0.66,0.748,8,-5.756,0.0465,0.745,0.156,0.816,91.026,https://open.spotify.com/track/0lGBH3NhfXHdOM1GswMqh3,energetic
4URODx8BrDkLRFmfYrREL2,Keerleb,Clicherik & Mäx,EE,47,182244,Keerleb,3/4/2025,0.575,0.699,1,-6.559,0.0392,0.182,0.152,0.787,141.976,https://open.spotify.com/track/4URODx8BrDkLRFmfYrREL2,energetic
4nnBWEm9NoFOxYl453b2XJ,Ebapopulaarne,Kermo Murel,EE,53,160000,Ebapopulaarne,21/2/2025,0.65,0.944,1,-5.539,0.104,0.153,0.036,0.601,150.164,https://open.spotify.com/track/4nnBWEm9NoFOxYl453b2XJ,energetic
5qih3ineeZsuEgr5TlyeaZ,peagi saabun...,nublu,EE,49,147397,kirjadkoju.zip,28/11/2024,0.637,0.873,7,-6.293,0.0509,0.0145,0.328,0.413,85.032,https://open.spotify.com/track/5qih3ineeZsuEgr5TlyeaZ,energetic
3gWBWLw3J3XTy3QTo36GqJ,Espresso Macchiato,Tommy Cash,EE,69,173746,Espresso Macchiato,7/12/2024,0.678,0.694,11,-6.183,0.0487,0.0123,0.133,0.646,119.87,https://open.spotify.com/track/3gWBWLw3J3XTy3QTo36GqJ,energetic
7AleqJvqrVBeQitkWntUUc,push it,"nublu, maria kallastu",EE,49,164640,push it,30/5/2024,0.814,0.727,11,-6.423,0.0579,0.056,0.116,0.588,124.022,https://open.spotify.com/track/7AleqJvqrVBeQitkWntUUc,energetic
5aZ9pmkHSO9R5vNxNffuX1,viinaingel,triibupasta,EE,45,206622,viinaingel,31/1/2025,0.703,0.884,7,-5.246,0.06,0.00325,0.139,0.545,150.945,https://open.spotify.com/track/5aZ9pmkHSO9R5vNxNffuX1,energetic
6TWSdpMosWn0enAvZO92sA,peegel,An-Marlen,EE,38,152181,peegel,11/4/2025,0.744,0.843,11,-4.479,0.0563,0.319,0.196,0.575,138.039,https://open.spotify.com/track/6TWSdpMosWn0enAvZO92sA,energetic
42L8fRwgmWXnNcq1R5QsJr,6llekas,triibupasta,EE,45,226415,6llekas,10/6/2024,0.756,0.87,5,-10.156,0.18,0.00576,0.215,0.96,159.005,https://open.spotify.com/track/42L8fRwgmWXnNcq1R5QsJr,energetic
1Bv5Gdvm899YYmjQg94172,hr maakler,"triibupasta, White Girl",EE,45,190243,hr maakler,1/10/2024,0.566,0.95,1,-4.146,0.0573,0.00183,0.0744,0.876,163.984,https://open.spotify.com/track/1Bv5Gdvm899YYmjQg94172,energetic
